WBAN #,STATION ID,STATION NAME,LAT/LON,ELEV (ft),TOWER HEIGHT (m)
3021,KPUX,"Pueblo, CO",382734 / 1041053,5249,10
93772,KRAX,"Raleigh/Durham, NC",353956 / 0782923,348,30
94047,KUDX,"Rapid City, SD",440730 / 1024947,3016,30
53104,KRGX,"Reno, NV",394515 / 1192744,8299,20
24061,KRIW,"Riverton, WY",430358 / 1082838,5568,10
53831,KFCX,"Roanoke, VA",370128 / 0801626,2868,20
53824,KJGX,"Robins AFB, GA",324031 / 0832104,521,20
93235,KDAX,"Sacramento, CA",383004 / 1214040,30,30
3982,KLSX,"Saint Louis, MO",384156 / 0904058,608,30
4104,KMTX,"Salt Lake City, UT",411546 / 1122652,6460,30
23034,KSJT,"San Angelo, TX",312217 / 1002933,1890,30
53115,KNKX,"San Diego, CA",325508 / 1170231,955,20
93236,KMUX,"San Francisco, CA",370919 / 1215354,3469,20
53111,KHNX,"San Joaquin Valley, CA",361851 / 1193756,243,20
PENDING,TJUA,"San Juan, PR",180656 / 0660441,2794,30
53117,KSOX,"Santa Ana Mountains, CA",334904 / 1173809,3027,15
94287,KATX,"Seattle/Tacoma, WA",481140 / 1222945,494,30
13957,KSHV,"Shreveport, LA",322703 / 0935029,273,30
14944,KFSD,"Sioux Falls, SD",433516 / 0964346,1430,10
PENDING,PACG,"Sitka, AK",565110 / 1353145,209,10
22548,PHKI,"South Kauai, HI",215339 / 1593308,179,30
PENDING,PHWA,"South Shore, HI",190542 / 1553408,1380,20
4106,KOTX,"Spokane, WA",474049 / 1173736,2384,10
13995,KSGF,"Springfield, MO",371407 / 0932402,1278,20
54764,KCCX,"State College, PA",405523 / 0780013,2405,20
93767,KLWX,"Sterling, VA",385831 / 0772840,272,25
93805,KTLH,"Tallahassee, FL",302351 / 0841944,63,30
92801,KTBW,"Tampa, FL",274220 / 0822406,41,20
3986,KTWX,"Topeka, KS",385949 / 0961357,1367,10
53112,KEMX,"Tucson, AZ",315337 / 1103749,5205,30
3984,KINX,"Tulsa, OK",361030 / 0953353,668,20
3995,KVNX,"Vance AFB, OK",364427 / 0980740,1210,10
93234,KVBX,"Vandenberg AFB, CA",345017 / 1202349,1223,20
3928,KICT,"Wichita, KS",373917 / 0972634,1335,10
93774,KLTX,"Wilmington, NC",335922 / 0782544,64,20
53116,KYUX,"Yuma, AZ",322943 / 1143924,174,10
